Precinct_Name,Split_Name,precinct_splitId,Reg_voters,Ballots,Reporting,Contest_id,Contest_title,Contest_party,Choice_id,Candidate_name,Choice_party,Candidate_Type,Absentee_votes,Early_votes,Election_Votes
01-05,,5,1850,1098,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,6,4,7
01-05,,5,1850,1098,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,63,35,76
01-05,,5,1850,1098,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,408,109,354
01-05,,5,1850,1098,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,60,27,72
01-05,,5,1850,1098,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,393,85,313
01-05,,5,1850,1098,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,79,44,97
01-05,,5,1850,1098,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,187,52,189
01-05,,5,1850,1098,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,192,53,160
01-05,,5,1850,1098,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,167,59,172
01-05,,5,1850,1098,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,191,36,144
01-05,,5,1850,1098,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,164,58,204
01-05,,5,1850,1098,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,262,69,187
01-05,,5,1850,1098,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,166,54,163
01-05,,5,1850,1098,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,266,73,212
01-05,,5,1850,1098,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,300,87,297
01-05,,5,1850,1098,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,124,45,107
01-06,,6,1422,907,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,10,5,17
01-06,,6,1422,907,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,19,6,16
01-06,,6,1422,907,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,84,22,109
01-06,,6,1422,907,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,292,100,207
01-06,,6,1422,907,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,2,1,5
01-06,,6,1422,907,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,0,0,4
01-06,,6,1422,907,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,2,4,14
01-06,,6,1422,907,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,332,105,245
01-06,,6,1422,907,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,6,4,8
01-06,,6,1422,907,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,56,17,64
01-06,,6,1422,907,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,334,111,266
01-06,,6,1422,907,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,45,15,71
01-06,,6,1422,907,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,322,107,249
01-06,,6,1422,907,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,67,21,80
01-06,,6,1422,907,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,169,60,149
01-06,,6,1422,907,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,128,47,128
01-06,,6,1422,907,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,134,48,141
01-06,,6,1422,907,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,135,54,112
01-06,,6,1422,907,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,167,56,156
01-06,,6,1422,907,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,198,65,158
01-06,,6,1422,907,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,131,45,124
01-06,,6,1422,907,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,225,74,175
01-06,,6,1422,907,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,261,87,229
01-06,,6,1422,907,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,108,32,92
01-07,,7,1788,937,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,15,9,24
01-07,,7,1788,937,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,7,5,13
01-07,,7,1788,937,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,78,35,91
01-07,,7,1788,937,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,247,100,293
01-07,,7,1788,937,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,6,1,4
01-07,,7,1788,937,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,1,1,7
01-07,,7,1788,937,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,7,4,25
01-07,,7,1788,937,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,269,110,313
01-07,,7,1788,937,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,7,0,6
01-07,,7,1788,937,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,55,28,55
01-07,,7,1788,937,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,273,102,345
01-07,,7,1788,937,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,56,39,59
01-07,,7,1788,937,1,6,"State Senator, Dist 1 Vacancy",,27,"(D) KAHELE, Kaiali'i",,C,278,117,336
01-07,,7,1788,937,1,6,"State Senator, Dist 1 Vacancy",,28,"(L) ARIANOFF, Kimberly",,C,53,22,61
01-07,,7,1788,937,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,263,105,303
01-07,,7,1788,937,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,65,35,88
01-07,,7,1788,937,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,152,62,178
01-07,,7,1788,937,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,121,52,183
01-07,,7,1788,937,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,125,61,184
01-07,,7,1788,937,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,128,49,155
01-07,,7,1788,937,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,147,72,214
01-07,,7,1788,937,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,164,63,188
01-07,,7,1788,937,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,124,47,154
01-07,,7,1788,937,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,184,91,230
01-07,,7,1788,937,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,218,103,296
01-07,,7,1788,937,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,97,33,98
01-08,,8,4757,3019,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,47,12,49
01-08,,8,4757,3019,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,49,18,49
01-08,,8,4757,3019,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,301,108,259
01-08,,8,4757,3019,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,1081,282,655
01-08,,8,4757,3019,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,19,4,11
01-08,,8,4757,3019,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,6,3,8
01-08,,8,4757,3019,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,21,5,23
01-08,,8,4757,3019,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,1216,331,770
01-08,,8,4757,3019,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,20,8,27
01-08,,8,4757,3019,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,200,68,170
01-08,,8,4757,3019,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,1215,335,829
01-08,,8,4757,3019,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,212,62,165
01-08,,8,4757,3019,1,6,"State Senator, Dist 1 Vacancy",,27,"(D) KAHELE, Kaiali'i",,C,1277,341,856
01-08,,8,4757,3019,1,6,"State Senator, Dist 1 Vacancy",,28,"(L) ARIANOFF, Kimberly",,C,149,56,122
01-08,,8,4757,3019,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,1181,315,728
01-08,,8,4757,3019,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,237,78,222
01-08,,8,4757,3019,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,663,194,446
01-08,,8,4757,3019,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,463,143,373
01-08,,8,4757,3019,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,454,153,418
01-08,,8,4757,3019,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,590,156,340
01-08,,8,4757,3019,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,533,166,468
01-08,,8,4757,3019,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,775,212,465
01-08,,8,4757,3019,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,455,124,347
01-08,,8,4757,3019,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,843,256,558
01-08,,8,4757,3019,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,949,291,721
01-08,,8,4757,3019,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,370,102,227
01-09,,9,1897,1209,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,12,7,20
01-09,,9,1897,1209,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,21,6,23
01-09,,9,1897,1209,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,106,35,162
01-09,,9,1897,1209,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,408,93,268
01-09,,9,1897,1209,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,10,0,10
01-09,,9,1897,1209,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,5,0,2
01-09,,9,1897,1209,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,5,3,14
01-09,,9,1897,1209,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,471,112,344
01-09,,9,1897,1209,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,5,2,10
01-09,,9,1897,1209,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,65,20,97
01-09,,9,1897,1209,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,480,116,372
01-09,,9,1897,1209,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,61,19,98
01-09,,9,1897,1209,1,6,"State Senator, Dist 1 Vacancy",,27,"(D) KAHELE, Kaiali'i",,C,503,124,384
01-09,,9,1897,1209,1,6,"State Senator, Dist 1 Vacancy",,28,"(L) ARIANOFF, Kimberly",,C,43,11,73
01-09,,9,1897,1209,1,15,"State Representative, Dist 1",,47,"(D) NAKASHIMA, Mark M.",,C,470,107,297
01-09,,9,1897,1209,1,15,"State Representative, Dist 1",,48,"(R) YOUNG, Byron",,C,63,27,140
01-09,,9,1897,1209,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,249,62,211
01-09,,9,1897,1209,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,181,50,202
01-09,,9,1897,1209,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,151,52,210
01-09,,9,1897,1209,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,243,57,179
01-09,,9,1897,1209,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,247,48,237
01-09,,9,1897,1209,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,253,82,204
01-09,,9,1897,1209,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,175,38,159
01-09,,9,1897,1209,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,323,88,260
01-09,,9,1897,1209,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,166,YES,,C,383,100,326
01-09,,9,1897,1209,1,67,HAWAI'I: Expanding Scope of the County of Hawai’i General Plan,,167,NO,,C,121,33,105
02-01,,10,4215,2345,1,1,President and Vice President,,1,"(G) STEIN, Jill / BARAKA, Ajamu",,C,31,18,59
02-01,,10,4215,2345,1,1,President and Vice President,,2,"(L) JOHNSON, Gary / WELD, Bill",,C,30,9,30
02-01,,10,4215,2345,1,1,President and Vice President,,3,"(R) TRUMP, Donald J. / PENCE, Michael R.",,C,233,83,158
02-01,,10,4215,2345,1,1,President and Vice President,,4,"(D) CLINTON, Hillary / KAINE, Tim",,C,874,258,474
02-01,,10,4215,2345,1,1,President and Vice President,,5,"(C) CASTLE, Darrell L. / BRADLEY, Scott N.",,C,17,4,9
02-01,,10,4215,2345,1,2,U.S. Senator,,6,"(A) GIUFFRE, John M. (Raghu)",,C,4,4,6
02-01,,10,4215,2345,1,2,U.S. Senator,,7,"(C) ALLISON, Joy J.",,C,24,7,36
02-01,,10,4215,2345,1,2,U.S. Senator,,8,"(D) SCHATZ, Brian",,C,970,281,522
02-01,,10,4215,2345,1,2,U.S. Senator,,9,"(L) KOKOSKI, Michael A.",,C,14,7,20
02-01,,10,4215,2345,1,2,U.S. Senator,,10,"(R) CARROLL, John",,C,154,55,109
02-01,,10,4215,2345,1,5,"U.S. Representative, Dist II",,25,"(D) GABBARD, Tulsi",,C,971,304,576
02-01,,10,4215,2345,1,5,"U.S. Representative, Dist II",,26,"(R) KAAIHUE, Angela Aulani",,C,163,56,119
02-01,,10,4215,2345,1,6,"State Senator, Dist 1 Vacancy",,27,"(D) KAHELE, Kaiali'i",,C,989,294,586
02-01,,10,4215,2345,1,6,"State Senator, Dist 1 Vacancy",,28,"(L) ARIANOFF, Kimberly",,C,136,51,99
02-01,,10,4215,2345,1,45,Hawaii Resident Trustee,,111,"LINDSEY, Robert K. (Bob)",,C,518,166,292
02-01,,10,4215,2345,1,45,Hawaii Resident Trustee,,112,"TRASK, Mililani B.",,C,408,150,305
02-01,,10,4215,2345,1,46,At-Large Trustee,,113,"AKINA, Keli'i",,C,387,146,319
02-01,,10,4215,2345,1,46,At-Large Trustee,,114,"APOLIONA, Haunani",,C,471,145,241
02-01,,10,4215,2345,1,65,CON AMEND: Jury Trials in Civil Cases,,162,NO,,C,471,161,350
02-01,,10,4215,2345,1,65,CON AMEND: Jury Trials in Civil Cases,,163,YES,,C,594,176,312
02-01,,10,4215,2345,1,66,CON AMEND: Disposition of Excess Revenues,,164,NO,,C,370,122,221
02-01,,10,4215,2345,1,66,CON AMEND: Disposition of Excess Revenues,,165,YES,,C,668,204,415
